Asset,Alpha,Mkt-RF,SMB,HML,RMW,CMA
Broad_Commodities,-0.7001673911992508,5.163562926845432,-0.6127004830164309,3.1563739298084434,0.5387811865140586,-0.5304827458965298
EM_Broad,-1.3694409744844003,12.38320278482826,-0.6824133127570309,0.9849912243772319,-0.7281663142037197,0.8278929986838538
EM_Debt_Local_Alt,-2.3005476785669714,8.214473369727248,-1.183792571264471,0.7492709584294013,0.034341187000523736,0.7367923101165561
EM_Debt_Local_Broad,-2.500273825931682,10.438528871724847,-1.1116515024839033,0.5995083452254661,0.7138550835028403,0.7071840554633522
EM_Debt_USD_Broad,-0.6321172135984382,7.815824253648044,-0.0003943180390107982,0.18097516287812548,2.2924654642315034,-0.4552138420602445
EM_Small,-2.0062136338087235,14.671236825506673,0.019535227387627165,1.1858703350066746,-0.1582770273021394,0.37977192531042203
EM_Value,-1.246749476381709,14.057990962567846,-0.5095574846368003,2.6512396409632575,0.799372721368397,0.6152143462974182
Gold,1.8278600784978591,2.003640235358603,-0.7551477347677545,-1.3643465467504907,2.267606254809754,0.4598039496905533
Intl_LC_Blend,-2.187103895828582,20.01187143392759,-1.7600276792523515,2.3780327276119806,0.12659068951739752,0.5401015434908181
Intl_LC_Growth,-2.4842957370899224,21.75177308390267,-1.6421721066200643,-0.8019718774360499,0.07380955903876607,0.2702334672813516
Intl_LC_Value,-1.847827750487462,17.61159808914316,-1.5888162465504547,5.009650337222095,0.051927033311442786,0.5803980645150377
Intl_MidSmall_Blend,-1.838923669816735,18.743485656145165,0.596308828363471,1.372172666426786,0.32615120730378067,-0.17670030414931737
Intl_REIT,-2.3919259898530285,13.720720545348067,0.7748802356324817,0.7535764193035545,1.3364484337017635,0.9401124730393816
Intl_Small_Value,-1.3492889778321688,16.35637940490535,0.18255078568840843,2.8191686900175754,0.45843033432856645,-0.36312831360436254
UST_Intermediate_7_10Y,0.8928692144545106,-0.03234936734393467,-0.6307645209594048,-2.8475634482952605,1.3802719646843373,0.5766644688697603
UST_Long_20Y_Plus,0.5670204027345578,-0.2530084815242229,-0.78060517087813,-2.60669706788489,0.6933692482159178,0.7152008142723468
UST_Short_1_3Y,0.7659278085770689,-0.6306508732630052,-0.33884169238621814,-1.2818970998626347,1.2309687759588919,0.30402920709197884
UST_TIPS,-0.4592815912522224,3.216126104829553,0.5349909945206546,-2.7916808315310213,3.0589070861653695,0.7552359659299207
US_HY_Broad,-0.6413362428850459,11.49128560772676,1.2275577551431223,1.2988989209151016,0.9995684090661787,-0.48635613506237824
US_HY_Short,-1.0114431783481093,10.4637993169294,0.941003671449051,1.7553456695044507,1.1918119618290122,-0.6276186430697583
US_IG_Intermediate,0.22522207952049533,4.6592421451973856,0.3613853298981943,-0.7738882179691897,1.8139490586399125,-0.506730882369746
US_IG_Long,-0.2615371799580798,4.317496889990988,-0.6682302444661452,-1.3569117474132186,1.0365551976937577,-0.027259232408883234
US_IG_Short,0.5413520901407407,4.912090294145456,0.7007075650128279,-0.11865789646693899,2.038208626963983,-0.7149832068305126
US_LC_Blend,-1.523792807848687,187.21411134558755,-16.390025041057797,2.904699232409936,3.3339819368508903,1.9056129629453877
US_LC_Growth,1.1336926758139296,73.64870084142535,-3.985842072098602,-9.908520069321813,0.10205118039910246,-3.9122898018056236
US_LC_Value,-1.1967509662155928,43.977990852846226,-2.2626680676086366,9.49399714072517,1.9109739963361057,3.738305590281953
US_MC_Blend,-0.9770836786184072,38.86158750168156,16.60018840502634,2.322788549783812,3.8369718622849565,0.22182466462240852
US_MC_Growth,-0.5925897534760652,32.103358548952436,12.062439875128934,-1.8057264158004611,2.1074473254607207,-0.21626832694158948
US_MC_Value,-1.4301184643816185,37.510458546603225,15.081827042687658,4.719694516157718,4.7466496139275876,0.5132936499011774
US_REIT,-1.0321708023954506,11.521778117901373,2.184394643811902,1.467539482044911,1.5553552936739496,0.1137436585077533
US_SC_Blend,-0.24447736673091744,71.8428325754882,32.417513760079736,8.703320941056806,3.2203155793783287,0.9232506841649052
US_SC_Growth,0.16491291703404098,46.53865849829166,24.029652011981483,0.3300993480018475,2.0090937208537536,-0.1662976451562283
US_SC_Value,-1.0630579132815714,73.03782437498592,31.717888477113483,13.091171920079193,4.299108603176662,1.5282971743406664
