Asset,Term,Beta,T_Stat,R2,N_Obs
US_LC_Blend,Alpha,-0.023510567642174247,-1.523792807848687,0.996629089320063,246
US_LC_Blend,Mkt-RF,0.9934851733002972,187.21411134558755,0.996629089320063,246
US_LC_Blend,SMB,-0.12364284265028797,-16.390025041057797,0.996629089320063,246
US_LC_Blend,HML,0.02601308583940312,2.904699232409936,0.996629089320063,246
US_LC_Blend,RMW,0.04791615821891043,3.3339819368508903,0.996629089320063,246
US_LC_Blend,CMA,0.022504059325334405,1.9056129629453877,0.996629089320063,246
US_LC_Value,Alpha,-0.06616443300284622,-1.1967509662155928,0.9536017529670642,246
US_LC_Value,Mkt-RF,0.9073679979543268,43.977990852846226,0.9536017529670642,246
US_LC_Value,SMB,-0.07162497212081163,-2.2626680676086366,0.9536017529670642,246
US_LC_Value,HML,0.30355489403097746,9.49399714072517,0.9536017529670642,246
US_LC_Value,RMW,0.0678672983269327,1.9109739963361057,0.9536017529670642,246
US_LC_Value,CMA,0.20137990257874366,3.738305590281953,0.9536017529670642,246
US_LC_Growth,Alpha,0.05632186330782858,1.1336926758139296,0.972303119582951,246
US_LC_Growth,Mkt-RF,1.079281766437351,73.64870084142535,0.972303119582951,246
US_LC_Growth,SMB,-0.11953585647207954,-3.985842072098602,0.972303119582951,246
US_LC_Growth,HML,-0.25495557883720626,-9.908520069321813,0.972303119582951,246
US_LC_Growth,RMW,0.0034049070584401472,0.10205118039910246,0.972303119582951,246
US_LC_Growth,CMA,-0.17033398361463317,-3.9122898018056236,0.972303119582951,246
US_MC_Blend,Alpha,-0.08015764337018713,-0.9770836786184072,0.952901993409662,246
US_MC_Blend,Mkt-RF,0.9950383373563007,38.86158750168156,0.952901993409662,246
US_MC_Blend,SMB,0.49509603255957696,16.60018840502634,0.952901993409662,246
US_MC_Blend,HML,0.09937235621928263,2.322788549783812,0.952901993409662,246
US_MC_Blend,RMW,0.15684073905466808,3.8369718622849565,0.952901993409662,246
US_MC_Blend,CMA,0.01387612086384768,0.22182466462240852,0.952901993409662,246
US_MC_Value,Alpha,-0.11858592736418384,-1.4301184643816185,0.9537260227381991,246
US_MC_Value,Mkt-RF,0.9952344776409487,37.510458546603225,0.9537260227381991,246
US_MC_Value,SMB,0.5635803524770984,15.081827042687658,0.9537260227381991,246
US_MC_Value,HML,0.2763346542293119,4.719694516157718,0.9537260227381991,246
US_MC_Value,RMW,0.20831542863670222,4.7466496139275876,0.9537260227381991,246
US_MC_Value,CMA,0.038381988995328624,0.5132936499011774,0.9537260227381991,246
US_MC_Growth,Alpha,-0.061240239464164674,-0.5925897534760652,0.9178149241866556,246
US_MC_Growth,Mkt-RF,0.9954578559444162,32.103358548952436,0.9178149241866556,246
US_MC_Growth,SMB,0.44289901501502604,12.062439875128934,0.9178149241866556,246
US_MC_Growth,HML,-0.0728823984287204,-1.8057264158004611,0.9178149241866556,246
US_MC_Growth,RMW,0.11599638534385419,2.1074473254607207,0.9178149241866556,246
US_MC_Growth,CMA,-0.015856505925762356,-0.21626832694158948,0.9178149241866556,246
US_SC_Blend,Alpha,-0.013361741382041221,-0.24447736673091744,0.9806224041307647,246
US_SC_Blend,Mkt-RF,0.9540618286677892,71.8428325754882,0.9806224041307647,246
US_SC_Blend,SMB,0.8861861655469415,32.417513760079736,0.9806224041307647,246
US_SC_Blend,HML,0.16557216947911146,8.703320941056806,0.9806224041307647,246
US_SC_Blend,RMW,0.12808405844300036,3.2203155793783287,0.9806224041307647,246
US_SC_Blend,CMA,0.029331002524158132,0.9232506841649052,0.9806224041307647,246
US_SC_Value,Alpha,-0.0616663331089088,-1.0630579132815714,0.9802989535203648,246
US_SC_Value,Mkt-RF,0.970533006386526,73.03782437498592,0.9802989535203648,246
US_SC_Value,SMB,0.9131764151395092,31.717888477113483,0.9802989535203648,246
US_SC_Value,HML,0.32932216081177923,13.091171920079193,0.9802989535203648,246
US_SC_Value,RMW,0.14712326150803,4.299108603176662,0.9802989535203648,246
US_SC_Value,CMA,0.05710025755349521,1.5282971743406664,0.9802989535203648,246
US_SC_Growth,Alpha,0.013771387854015098,0.16491291703404098,0.953978345707384,246
US_SC_Growth,Mkt-RF,0.9455125749999127,46.53865849829166,0.953978345707384,246
US_SC_Growth,SMB,0.8670780851177258,24.029652011981483,0.953978345707384,246
US_SC_Growth,HML,0.011182449999346977,0.3300993480018475,0.953978345707384,246
US_SC_Growth,RMW,0.12112925619544392,2.0090937208537536,0.953978345707384,246
US_SC_Growth,CMA,-0.00906444361696896,-0.1662976451562283,0.953978345707384,246
Intl_LC_Blend,Alpha,-0.3599864064725817,-2.187103895828582,0.7520188898534272,246
Intl_LC_Blend,Mkt-RF,0.9528083583511687,20.01187143392759,0.7520188898534272,246
Intl_LC_Blend,SMB,-0.13067213405040523,-1.7600276792523515,0.7520188898534272,246
Intl_LC_Blend,HML,0.16671075413861566,2.3780327276119806,0.7520188898534272,246
Intl_LC_Blend,RMW,0.01092896012369458,0.12659068951739752,0.7520188898534272,246
Intl_LC_Blend,CMA,0.05597213165637357,0.5401015434908181,0.7520188898534272,246
Intl_LC_Value,Alpha,-0.34540555995713684,-1.847827750487462,0.7192374709274298,246
Intl_LC_Value,Mkt-RF,0.9379872669423949,17.61159808914316,0.7192374709274298,246
Intl_LC_Value,SMB,-0.13794790697822082,-1.5888162465504547,0.7192374709274298,246
Intl_LC_Value,HML,0.40149543015253,5.009650337222095,0.7192374709274298,246
Intl_LC_Value,RMW,0.004950587197996509,0.051927033311442786,0.7192374709274298,246
Intl_LC_Value,CMA,0.06660781127429259,0.5803980645150377,0.7192374709274298,246
Intl_LC_Growth,Alpha,-0.3913527909723096,-2.4842957370899224,0.7562814498233912,246
Intl_LC_Growth,Mkt-RF,0.9750109639933806,21.75177308390267,0.7562814498233912,246
Intl_LC_Growth,SMB,-0.11585916709929459,-1.6421721066200643,0.7562814498233912,246
Intl_LC_Growth,HML,-0.059628810135510746,-0.8019718774360499,0.7562814498233912,246
Intl_LC_Growth,RMW,0.006974336024866329,0.07380955903876607,0.7562814498233912,246
Intl_LC_Growth,CMA,0.030540094550552722,0.2702334672813516,0.7562814498233912,246
Intl_MidSmall_Blend,Alpha,-0.40755486101932503,-1.838923669816735,0.74235802141542,222
Intl_MidSmall_Blend,Mkt-RF,0.9901242603226851,18.743485656145165,0.74235802141542,222
Intl_MidSmall_Blend,SMB,0.047303531170146414,0.596308828363471,0.74235802141542,222
Intl_MidSmall_Blend,HML,0.110856447066282,1.372172666426786,0.74235802141542,222
Intl_MidSmall_Blend,RMW,0.02980610797165733,0.32615120730378067,0.74235802141542,222
Intl_MidSmall_Blend,CMA,-0.021701435550329246,-0.17670030414931737,0.74235802141542,222
Intl_Small_Value,Alpha,-0.29470476317979816,-1.3492889778321688,0.7030722507643408,240
Intl_Small_Value,Mkt-RF,0.9203065884956079,16.35637940490535,0.7030722507643408,240
Intl_Small_Value,SMB,0.01455602321100534,0.18255078568840843,0.7030722507643408,240
Intl_Small_Value,HML,0.23030753902701398,2.8191686900175754,0.7030722507643408,240
Intl_Small_Value,RMW,0.04601752406081397,0.45843033432856645,0.7030722507643408,240
Intl_Small_Value,CMA,-0.04282789761357583,-0.36312831360436254,0.7030722507643408,240
EM_Broad,Alpha,-0.35719001842056397,-1.3694409744844003,0.48227913513583975,164
EM_Broad,Mkt-RF,0.7892446577031345,12.38320278482826,0.48227913513583975,164
EM_Broad,SMB,-0.07078044782677143,-0.6824133127570309,0.48227913513583975,164
EM_Broad,HML,0.11528900386455466,0.9849912243772319,0.48227913513583975,164
EM_Broad,RMW,-0.09111235259530497,-0.7281663142037197,0.48227913513583975,164
EM_Broad,CMA,0.12403185384522156,0.8278929986838538,0.48227913513583975,164
EM_Value,Alpha,-0.3106481845736125,-1.246749476381709,0.5702005319112772,227
EM_Value,Mkt-RF,0.8760608882339329,14.057990962567846,0.5702005319112772,227
EM_Value,SMB,-0.05034386502771378,-0.5095574846368003,0.5702005319112772,227
EM_Value,HML,0.25580843644862455,2.6512396409632575,0.5702005319112772,227
EM_Value,RMW,0.08555305473979653,0.799372721368397,0.5702005319112772,227
