Asset,Mkt-RF,SMB,HML,RMW,CMA
Broad_Commodities,5.175653533677296,2.243588148978695,3.488742802209659,-0.4583183970077171,0.45200762712754444
EM_Broad,12.253236148601289,2.0513304156715515,0.8871935748148696,-0.5017425081920169,-0.779442419038807
EM_Debt_Local_Alt,6.2473285823180875,0.8827966164136084,0.9388895210684131,0.2047008347280911,0.14006729407220608
EM_Debt_Local_Broad,8.809124951118186,1.299389598759066,0.81410540991507,0.028446353360508072,-0.14474567317964954
EM_Debt_USD_Broad,7.466885265579672,1.8574389878133375,0.6781431838381794,-0.022241766299744344,-1.797421463388618
EM_Small,12.005741228868153,2.5158905283292037,0.9326640463506227,-0.8031209235694103,-1.4724055148461517
EM_Value,13.500203953580575,3.1924700426306076,3.0780770288046377,-1.2496667083878696,0.2327092690209132
Gold,1.1999081533717737,-1.4391368984584203,-1.647083256419,2.1741535577477435,-0.6586068635681859
Intl_LC_Blend,19.894957913852416,3.6187142914494226,2.1710613034408137,-1.5874212977276743,-0.8174965701301087
Intl_LC_Growth,22.567557221398534,3.2516905169786887,0.5166525930414082,-1.673777628804073,-2.276378704783815
Intl_LC_Value,15.100099972760095,3.684650986181171,3.8687274375668776,-1.4904040450024638,0.8105197917775436
Intl_MidSmall_Blend,20.151719273832903,4.340003655335267,1.747834907280345,-1.7856926471974832,-1.3783016163683364
Intl_REIT,12.387455677330701,2.7318726717339827,1.3129291664702312,-0.11403300812000379,-0.0030463488101336576
Intl_Small_Value,15.941567447823624,4.15807591912517,2.391338907433855,-1.5900265632761175,-0.7483519557034002
UST_Intermediate_7_10Y,-0.8484496543482989,-2.294311751890655,-3.659153956373678,1.6443869511920333,-1.33296707466762
UST_Long_20Y_Plus,-0.9618188986646072,-2.0996457664473565,-3.2866233972971926,0.9652620647867823,-1.3336518797986856
UST_Short_1_3Y,-1.1161786443799802,-1.6437908336896008,-1.6559676455931305,1.7263423953093753,-0.3292323022868221
UST_TIPS,3.021655002699442,0.16530705800749224,-2.645829189547295,1.9065356617572498,-1.6065048314187786
US_HY_Broad,10.586581985118585,3.4032638330311986,1.8902965005758348,-1.4716636401957648,-1.253756694596886
US_HY_Short,7.837112125365794,2.600907598032571,1.2373449319949221,0.27514762363185735,-1.274333347588373
US_IG_Intermediate,4.171812819711998,0.9145608210431407,-0.8995833962701091,0.6723963864271606,-2.0717335086966937
US_IG_Long,3.8694270084196085,0.25272049897331816,-1.4684062502256423,0.3149963100734109,-1.8501626213295568
US_IG_Short,4.363183397728793,1.355723626034991,-0.23304186304066424,0.7669530236474065,-1.7583102998444822
US_LC_Blend,145.17032030293686,3.8126410538578552,1.2075611381070326,-1.775801866178975,-2.187302099218493
US_LC_Growth,37.12698558866366,2.850081761763968,-1.1277801998174175,-2.297048437770721,-5.1310280999788125
US_LC_Value,28.52813514709609,5.038004787617578,4.247452058087948,-1.380080134059487,1.4735534756177062
US_MC_Blend,35.60798231253938,8.548573618867298,2.7188163602281703,-2.1589138306824953,-0.92306363418438
US_MC_Growth,36.274181711533465,7.618172330283199,1.3626502183323193,-2.415801430094572,-2.0264119041450503
US_MC_Value,26.441456556673455,9.042512069752236,4.049693436462203,-1.8783998279839584,0.31077736718441806
US_REIT,9.466603659001345,4.081431000427415,2.105852175300274,-1.1955927868865601,-0.0701759561962428
US_SC_Blend,31.259575153614023,12.608008775305738,3.4258968793439415,-2.781936174929928,-0.15947535888099282
US_SC_Growth,36.212767286952705,12.249896719293059,2.3519473171961764,-2.898763987728051,-1.1400608078987866
US_SC_Value,24.032098968604434,12.351468653732438,4.435805471845258,-2.6162977825917233,0.8218528161454567
