,Mkt-RF,SMB,HML,RMW,CMA
2009-02-01,1.153641562157158,-0.5248693762711751,0.23916116230487255,-0.614843814931429,-0.1150115339426947
2009-03-01,1.1413118864718648,-0.5375844280505427,0.14265875448027399,-0.3917423455837521,0.1314171196839673
2009-04-01,1.1610206675057821,-0.4729214582291375,0.13848321524852725,-0.3312827490584616,0.1638969881249297
2009-05-01,1.1511891389370483,-0.3926947864016862,0.10223389800007893,-0.30594260285665914,0.2038705985974285
2009-06-01,1.1282065471233502,-0.28433423351262627,0.026668708950686043,-0.4860308670828651,0.2526472858236539
2009-07-01,1.2075609791880384,-0.4228752274027616,0.08236095041695879,-0.45219731049037615,0.6020908502497242
2009-08-01,1.2148070157726032,-0.4495610334988081,0.05428329569742377,-0.6397958227668215,0.8413938520038527
2009-09-01,1.245489146541383,-0.4029782794278015,0.03559724158099345,-0.5579489985690438,0.8865182789848888
2009-10-01,1.2960140103415472,-0.5662902143384697,0.0608561593938642,-0.3140194290361885,0.8048357698853732
2009-11-01,1.2967579435046845,-0.5720149034659516,0.05773093648039036,-0.30962878535956745,0.8262424506912573
2009-12-01,1.2988606829103249,-0.3483022159112705,-0.01652077074453079,-0.26730804128552604,0.8320980359073549
2010-01-01,1.2549418225160083,-0.3369830501021509,-0.006033220519459703,-0.42818628363568906,0.848380566843967
2010-02-01,1.3015275501231092,-0.38733289206808835,-0.02435700082377229,-0.3252732032547504,0.9772008689856718
2010-03-01,1.3019829652411883,-0.3878995801394094,-0.025400360637912234,-0.32525366163393166,1.0047623200743034
2010-04-01,1.281305862795314,-0.3254736017348119,-0.013528490746845478,-0.33623507444509315,0.9759625615739638
2010-05-01,1.2110547457557013,-0.270876750743868,-0.017097317396532696,-0.4252959261769793,0.9529796137138913
2010-06-01,1.1967620005712045,-0.2815745812048869,-0.024767471932424526,-0.477892221251361,0.9091630975337472
2010-07-01,1.1308744961104167,-0.2197613590504825,0.061515130823800404,-0.47939890684199193,0.6687226722084094
2010-08-01,1.1223188899080783,-0.24490277314909564,0.06744806938656228,-0.533194435711454,0.6235204433516346
2010-09-01,1.1080782788914485,-0.23382686203651235,0.07931733517401877,-0.5205975562713727,0.6626545650698837
2010-10-01,1.1126032405639164,-0.237863915418435,0.060413902699163684,-0.5468754132567892,0.6842143253154154
2010-11-01,1.1136389943895142,-0.20146715496409928,0.039701613104334156,-0.5643118935195964,0.7210915867514337
2010-12-01,1.113145669940609,-0.1985569822654341,0.040233018051465376,-0.5549735149321334,0.7144279039674616
2011-01-01,1.1189483203297712,-0.13719708375297407,-0.0024344471360279937,-0.5703547078739186,0.6686975105860018
2011-02-01,1.119786204842585,-0.13655655721558493,-0.004046984744440797,-0.5696008938225572,0.6739904116662996
2011-03-01,1.1192846156713783,-0.12778995532000229,-0.005260168438416556,-0.555313088228013,0.671845289312888
2011-04-01,1.1256491190132634,-0.14082701569367384,0.010233430922819697,-0.5310075608157242,0.6175170235129783
2011-05-01,1.129332977790158,-0.13602981513519707,0.012386718597857754,-0.5009236225858852,0.5670089968595466
2011-06-01,1.142166036164875,-0.17755551865966818,0.02749777681401517,-0.5696439958054196,0.5176969968800131
2011-07-01,1.1084178196569254,-0.15436497052582573,0.10922794744968048,-0.5562064301700865,0.37438092410166224
2011-08-01,1.1077857475359543,-0.12426259944785145,0.14626290350646026,-0.3563280863125141,0.37557782425688396
2011-09-01,0.9157656243970567,-0.058028649197146245,0.5250332422436035,-0.15147330158734656,0.33788356255210705
