Date,AAPL,AGG,GLD,JNJ,JPM,KO,MSFT,PEP,PG,PLTR,SPY,UNH,VFISX,VNQ,VTV,VUG,XOM
1990-01-01,,,,,,,,,,,,,,,,,
1990-02-01,0.32211227664504793,,,2.9219371282686257,-0.48551713479593195,2.359304797085149,6.7568489923239605,1.7392216304545016,-0.19535268553420027,,,1.3512748547836129,,,,,1.2658097888957442
1990-03-01,18.38253253395341,,,4.662034248034463,-6.467652645403932,6.61760652325194,12.151811841361425,7.523809382042712,6.0665551985843225,,,4.0000501807139655,,,,,-1.5958382529880355
1990-04-01,-2.173770196697533,,,0.8909337457495781,0.0,2.00670468799522,4.7404918024205545,5.788491129851181,4.906096111675806,,,10.256422759991835,,,,,-2.162130892354719
1990-05-01,5.052549438523424,,,13.435751525381301,17.112365104109006,18.360721158599592,25.861986580146002,11.509363550746743,16.991088101308716,,,40.69737898028198,,,,,7.464075205132081
1990-06-01,8.48492137651997,,,6.066501495716814,-4.562228995312367,-1.2157103804049663,4.10964449739315,5.498122823819851,5.446365113924223,,,14.04974969303614,,,,,-0.26050446429635166
1990-07-01,-6.145446255167986,,,4.243563100992076,-9.80391118917514,2.2535745784875383,-12.50005814153603,-0.8051157494679217,0.0692280437560644,,,10.144825885950715,,,,,8.35514078126305
1990-08-01,-11.638508293244465,,,-6.610117495788225,-5.978269223334576,-6.887084753502338,-7.518775409529321,-2.4350635696771206,-11.23917011998129,,,-9.828941605529383,,,,,-2.536571080764083
1990-09-01,-21.621475556124302,,,-3.6190557655369604,-26.127701862861706,-6.062824810275935,2.438993827820446,-7.7878524061882555,-5.3571363073140805,,,-5.839460409320174,,,,,-1.9999523529023122
1990-10-01,6.0344612689746,,,1.7786446109082865,-34.67740561794482,13.607538565677446,1.190545795130471,4.3478048602632935,8.610639042291401,,,9.302423882645483,,,,,0.0
1990-11-01,19.911555432830454,,,8.908536233729226,12.345652903042081,3.516610159678968,13.333242393583022,6.77086138282792,5.405461372071252,,,14.893709568590419,,,,,4.730308219178081
1990-12-01,17.006983591066138,,,2.867283437629564,-3.6770968853543473,0.5405916077803719,4.152286888656387,1.845892273412164,4.524876481670548,,,14.814816415991384,,,,,2.2222397790388815
1991-01-01,29.069659313641672,,,6.620275083182636,22.092966554657245,4.838681484066809,30.398627599850926,5.769214044736204,-7.940169902796635,,,18.279481513811668,,,,,-0.24153444651831002
1991-02-01,3.370268906816598,,,7.811846403027922,25.71430036681155,7.435870438623704,5.732488298537208,19.0909346628763,2.5236345264789684,,,9.545413119489133,,,,,8.194031484871322
1991-03-01,18.77722538713369,,,16.74277611081425,6.80743631846632,4.057945540691854,2.2891588268420415,4.898070304752,4.76931096101878,,,30.290533328739034,,,,,6.122470956964432
1991-04-01,-19.117778271477636,,,-1.434175248471381,17.985545564434545,-2.7649697819738916,-6.713753917738252,-6.934357596087337,-0.9021266469491973,,,0.31844166616428193,,,,,1.709435776243784
1991-05-01,-14.326684868388162,,,-3.683475927665303,4.268317087315698,8.530808337854246,10.858591791742246,-1.5686241812215451,1.4903323613138397,,,24.462108147294014,,,,,-0.9739271249730508
1991-06-01,-11.702072506727411,,,-7.862084594444873,1.041639618545287,-4.385328768483799,-6.890644700214665,-7.207617935471722,-9.104244928404492,,,-8.418360993097473,,,,,-0.21466409073912507
1991-07-01,11.445555752842518,,,9.730535386052042,19.88303080785876,10.3211276632023,7.889915988014651,9.913801218961638,5.01818323632357,,,11.97771174809028,,,,,2.1505718838676247
1991-08-01,14.85340843966949,,,1.8057569846337218,3.4146582801981795,9.355486918386791,15.98639043536716,1.5686057279607146,3.40554896489611,,,2.4876051739894267,,,,,-0.7821339034030261
1991-09-01,-6.603772542144915,,,-4.845266279146509,-3.333287520316386,-1.5382929423219172,4.398827530735416,-11.604862413674299,1.646679236715154,,,4.8543439441302905,,,,,2.1458629760838788
