Date,US_LC_Blend,US_LC_Value,US_LC_Growth,US_MC_Blend,US_MC_Value,US_MC_Growth,US_SC_Blend,US_SC_Value,US_SC_Growth,Intl_LC_Blend,Intl_LC_Value,Intl_LC_Growth,Intl_MidSmall_Blend,Intl_Small_Value,EM_Broad,EM_Value,EM_Small,US_IG_Short,US_IG_Intermediate,US_IG_Long,US_HY_Short,US_HY_Broad,EM_Debt_USD_Broad,EM_Debt_USD_Short,EM_Debt_Local_Broad,EM_Debt_Local_Alt,UST_Short_1_3Y,UST_Intermediate_7_10Y,UST_Long_20Y_Plus,UST_TIPS,US_REIT,Intl_REIT,Broad_Commodities,Gold
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,1.9754396156298704,,,2.442630195255191,,,5.884998461170521,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,-1.7507027229481498,,,0.8695230548409372,,,-2.818972183577473,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,6.526084964842549,,,11.254840603114435,7.84649700834672,15.09190266209468,9.312953007238868,7.38084779500674,12.948590033580288,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,-5.444470155253056,,,-1.1022038063215334,1.3343839753516384,-2.5350502683263887,-2.8150621655885,-0.1823769051395585,-4.388944898459657,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,-0.3914018754638038,,,-3.2417780306134847,-1.3061370795229066,-5.554907820480571,0.5321437733905254,-0.8865076953341156,-0.6978233357367247,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,-7.564697418368082,,,-6.971151292340949,0.12029287488906082,-14.23391524410581,-10.042943243620906,-4.101186901155984,-13.443067115165174,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,-0.4028137706422519,,,7.266655826984758,10.130459912284827,5.128258546426823,11.282299771954607,12.852900818494994,8.014393346118865,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,4.217918234866569,,,1.6641191205142736,3.9181368047693343,-0.14129261992082975,4.751653229694552,7.8571957650738655,-0.13546408076747785,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,-9.37179810714418,,,-5.666676862030484,-3.2076436431093813,-8.367010131040143,-5.943600718219944,-4.214332664996546,-8.237638597471852,,,,,,,,,,,,,,,,,,,,,,,,,
