Date,Mkt-RF,SMB,HML,RMW,CMA
2006-04-01,5.841437754908544,0.7307648983538855,2.762126483683928,0.09122539699355812,-0.10956960650748676
2006-05-01,2.09865368544836,0.023336765493499723,2.5589021967000645,0.07454397829216548,0.3993825087557797
2006-06-01,0.35977634734000197,-0.6964340858091231,0.85973835512031,-0.062049217381939116,0.21360556471164566
2006-07-01,1.0954756748617644,-0.29159066142240053,1.6418706528881226,0.35024348520939436,0.13421830234603743
2006-08-01,0.7110010231438254,-0.34217233639367317,1.3459428362450307,0.12104384239873674,0.3938620599607505
2006-09-01,1.1257884304431358,0.1214387445450357,-0.37149715845623904,-0.3634350685366404,-0.3543338339677432
2006-10-01,2.256847530145428,-0.014495517968793014,0.5533360546971873,-0.1745144293322243,-0.06592053860181533
2006-11-01,2.62656753408257,-0.10845686503590671,0.03887744330897352,0.003539600316054632,-0.43978437514004337
2006-12-01,-0.5096012831065644,-0.23944744665424625,-0.6281470835419335,0.7074301267523858,-0.6531563092515443
2007-01-01,-0.6450770151908646,-0.9742684513630062,0.06829509456747558,-0.27669490127421803,0.16595993525284183
2007-02-01,1.5552031265313178,0.320267832491698,0.7859627338242969,0.35813385222157784,-0.18613370720721376
2007-03-01,3.899310136386858,0.9508794031481461,0.6976236783136894,0.21660702158322043,-0.8511973497204113
2007-04-01,4.351345147435242,1.1281590192106354,1.6033798710939375,0.24854678559940704,-0.36016817773389836
2007-05-01,1.1973867559788867,0.13851906952686113,0.28189879300817633,0.36443955901088854,-0.1877718521219059
2007-06-01,0.15931807450609772,-0.09961454516712313,-0.41879948122303196,0.7184671633557698,-0.6456496811186103
2007-07-01,1.41540320226736,0.5832730906610043,0.6328795259646355,0.5029533005173541,-0.4172039697555476
2007-08-01,-0.07909849742695206,0.04733392742800683,-0.39226298260333964,0.2475052238763976,-0.21763610313359688
2007-09-01,4.777202702060622,1.485774592292585,0.6908988710730726,-0.02043493612769612,-0.4604279806198121
2007-10-01,2.742139594950689,1.7179662934199338,0.9705751119426503,0.19728247146095418,-0.3811901740242174
2007-11-01,-2.821818737933552,-0.6065636008970389,-1.1338448530384349,0.9235570034140262,-0.10286469209911268
2007-12-01,-0.7631560441362762,0.3512266379272475,-0.36841659256876114,1.0405269031641289,-0.4793454500731318
2008-01-01,0.18283622823209372,0.6584017590415253,-0.024479424500609904,0.8393853708272893,-0.2588112650480874
2008-02-01,1.8802100170403644,1.3263106099375974,1.9558198323083869,0.8863723909489428,0.1722709045793931
2008-03-01,-0.19033107331911606,0.4564712583725759,-0.11466522947124266,0.9900583373251756,-0.16618985459161362
2008-04-01,-0.9512334388662377,0.7600516662283494,0.4229917012233485,1.0482050990984915,-0.26268250845613034
2008-05-01,-1.0370675227044726,0.21947220437254486,-0.11178269797384571,1.093805958203346,-0.16739666061245537
2008-06-01,-2.3386917409685197,-0.7415560706776698,-0.5015860410541497,1.4453796830834886,-0.12358379595309207
2008-07-01,-2.001299590646642,-1.9444082756089704,-1.1482747184486775,2.191988379525312,-0.532652342278967
2008-08-01,-6.771406590901984,-1.0673964226075405,-1.2679858127284882,0.8819070358267658,-0.24698273312361885
2008-09-01,-7.283318665842865,-1.0735949863524925,-1.422767368110193,2.4177619204654013,0.30294455084241134
2008-10-01,-16.145182386948775,-1.985349676597577,-2.6047048176493246,2.477736090522296,1.472077336688041
2008-11-01,-8.453624352886711,-0.8339064826596712,-3.794398173033616,1.405928158984917,0.18848016776218968
2008-12-01,0.10298411142666646,-0.31058795698658054,-3.7406512828609677,1.5906268700091255,0.02232365419231586
2009-01-01,-7.650001699980527,-0.6258506752605314,-2.371987611541606,1.00866727267598,0.17877218220545588
2009-02-01,-5.4415154511564126,-0.7283519073265977,-2.613054632558529,0.9308577326581026,0.28797933764193256
2009-03-01,1.8874492695537708,1.1767432524556873,-0.48844624176021145,0.7548895717811657,0.3632834911710197
2009-04-01,0.7218418697224657,2.590279259561949,0.8012494082273727,-0.5092109372704213,0.9730816316140594
2009-05-01,4.540021887436792,0.29180652696400433,0.18793411852630568,0.1718421304794877,0.657444946931351
2009-06-01,-1.7931306702214966,0.6381624678325316,-0.03446114761059695,-0.21353153409094328,0.6077103454270324
2009-07-01,4.497794316763661,0.2861790108820242,-0.775506250051582,-0.9216364728470715,0.07633007257471155
2009-08-01,0.39169956162814423,0.2273010403551845,1.0451879301981795,-0.39233732759532847,1.0723085841451476
2009-09-01,2.6037484311422485,1.0103543461629427,0.8538370231511813,-1.230033726711112,1.0269644823112303
2009-10-01,0.44906451104336287,-0.6573659081299723,-0.2521165104977989,0.27831641936105816,0.5281776530502335
2009-11-01,2.6636232712250916,-0.2535066139204103,-0.18730586200121552,0.32084504354057997,0.2709112365632905
2009-12-01,-2.0208592128811227,0.4500715411572046,0.35809255884656105,0.15082164016539046,0.4698619356766867
2010-01-01,-1.868167865323022,-0.8771377600889124,-0.4746989524174682,0.5039220348894817,-0.04147421596413517
2010-02-01,1.7987659914782508,0.04785591725584942,0.3920187834855654,-0.3876805195969407,0.21803876674704062
2010-03-01,2.5748143299130883,0.28717078009016694,1.1136823716347124,-0.3537967802439672,0.42207842769153775
2010-04-01,0.40334976089550345,0.7042460775367015,1.38272620974358,0.004683826448486879,0.5943971390753576
2010-05-01,-7.602427363188014,-1.9825173376846588,-1.55807772079289,1.074806442977021,0.46089927331151603
2010-06-01,-0.6900294949988297,-0.12878656560275992,-0.4775840892505782,0.8097055704444831,-0.03988600544064914
2010-07-01,5.212852470217507,1.1532637639161318,0.4814230928651448,-0.2972681603955976,-0.10141861427637215
2010-08-01,-2.2117503260179796,0.537736242505568,0.45274356437129903,0.4019298379699307,0.6877650470887182
2010-09-01,5.7277351065341024,1.595411733912986,1.1168342277897405,-0.15860030473446846,0.08147140587885603
2010-10-01,1.474342141735205,0.3663200459454947,0.2638827455751079,0.39784447311304527,0.38233506760044395
2010-11-01,-3.4048724203885636,-0.5448252697401607,-0.1501116376539307,0.8168751077576344,0.3696152473679185
2010-12-01,3.6213616855362956,0.3441794345695739,1.1038705767519736,0.424509880636456,0.11149957816608588
2011-01-01,2.4903171661085572,1.3903772879350635,1.9993736059925764,-0.994115123655405,1.0057247138658678
2011-02-01,2.7171504857927298,1.1582298546657877,2.413513612152807,-0.2860497826590224,0.843761795043907
2011-03-01,1.8088066474522284,0.3427903563391652,1.0801527391443027,-0.06326905205466395,0.5607877251816892
2011-04-01,4.260095738120665,-0.43489250951772207,0.7511203355130054,0.6932576657862679,0.0178614598723531
2011-05-01,-1.3567545808569237,-0.9957313018177801,-0.45726779048586347,0.5903884829136011,0.22596696968034571
2011-06-01,1.388998590573308,-0.5158344160091234,-0.2520731776311368,0.5129564593561292,-0.11507951622760991
2011-07-01,1.7683407685724504,0.03322994362046678,1.0187718162588428,0.6430803408024067,0.3129099074199269
2011-08-01,-2.9907162963375544,-0.83518745542701,-0.5594289177924604,1.2553079356131718,0.40930511027522226
2011-09-01,-10.818801944732812,-1.9890658893485444,-2.2653883058696263,1.8382542978371548,0.33553461945844465
