Date,US_Growth_Factor,Global_Growth_Factor,Inflation_Factor,Rates_Yields_Factor,US_Monetary_Policy_Factor,Global_Monetary_Policy_Factor,Currency_Factor,Credit_Risk_Factor,Commodities_Factor
2006-01-01,,,,2.687015253284311,,,,-1.1670525877981552,
2006-02-01,0.14864097152427538,,-0.2961870615335702,2.7450905230778115,-0.7276641804208418,-0.9568048722633155,0.34033617248525605,-1.3371471530417387,0.12385430919337016
2006-03-01,0.16706821557673665,-1.1245370495839877,0.7885546533003561,3.149207114387281,-1.1614616388155794,0.21913127349634606,0.7923263121495161,-1.3846363574718374,0.7743580900476383
2006-04-01,0.1187039329592849,-0.6776318537774132,1.202544252557459,3.8460840804663494,-0.59485245376631,0.8820713302247095,-2.4053301511535397,-1.3850214325796784,3.1225200006713294
2006-05-01,-0.09770656949992547,-0.2764509979901073,0.6352359343428768,3.770975610802341,-1.125191345492532,-1.0570932849093562,-0.3777210794243424,-0.9684286345564052,2.3755377134275344
2006-06-01,0.06953565648597276,-0.07756066616626554,0.13864022931513809,3.8001834825825567,-0.9015636715680332,0.45690467782392247,0.4886954654011122,-1.2542824536302009,-0.8111593219696085
2006-07-01,-0.10652933153702977,-1.2543768506980986,0.40430149904294405,3.779040870491796,-0.8524826351723483,0.1505447012723914,-0.25313415092169667,-1.081233682163213,0.7602532311285368
2006-08-01,0.24408038662853365,-0.9114373663233848,0.5699345900314695,3.2955075166611323,-0.8662622720403109,0.1373302643146698,-0.36285862391274293,-1.2680437561062834,-0.6836175175949685
2006-09-01,-0.01344420950717885,-0.3466385033281194,-1.7068315149807234,3.0180658860038196,-1.0611221584397517,2.4568419191941184,0.4725328745237789,-1.3059663345650865,-0.8998363431265645
2006-10-01,0.07078055050877298,-0.8382590309736031,-1.5321726203647983,3.0070185441180257,-0.6871464444256609,0.5724984521984812,-0.7291137898627342,-1.4549170273690146,-0.5709061308058825
2006-11-01,0.14420865196743676,-0.2806322510865117,-0.9228706810074097,2.7794967665705377,-0.8749528800211666,1.8814518861150844,-0.8339656700219078,-1.4715884407921023,-0.015670460669791372
2006-12-01,0.7668829792599163,-0.6955337161508472,0.6522451582011877,2.835719366197834,-0.6580421670657369,4.8667422117749215,0.46936203831311474,-1.4145546580289075,-1.1170454714033289
2007-01-01,-0.016140229996166083,-0.49153029747935717,-0.5498946345580082,3.2171739810995117,-0.9723122970007265,0.1682738420971804,0.961340269933797,-1.5773518982667785,-1.9738890256652417
