Asset,Alpha,Mkt-RF,SMB,HML,RMW,CMA
Broad_Commodities,-0.27865661962907057,0.5146354895716574,-0.08351205206193067,0.4031598949718077,0.10835894902091313,-0.12138932048258246
EM_Broad,-0.35719001842056397,0.7892446577031345,-0.07078044782677143,0.11528900386455466,-0.09111235259530497,0.12403185384522156
EM_Debt_Local_Alt,-0.458091044620469,0.37192500855420074,-0.0983871038625847,0.07893015247516191,0.0028310904650734325,0.09885311162780172
EM_Debt_Local_Broad,-0.48914617764754875,0.4400829086202833,-0.09003339843975214,0.058198578457941616,0.06118342009713138,0.08908033767468362
EM_Debt_USD_Broad,-0.10771019957229076,0.435582409850907,-2.6514261766480505e-05,0.017700652379731244,0.20375224263261352,-0.062307936780685434
EM_Small,-0.534061933291771,0.871436207709671,0.00184437725667338,0.1402255097556632,-0.016159519496979136,0.056051794503698786
EM_Value,-0.3106481845736125,0.8760608882339329,-0.05034386502771378,0.25580843644862455,0.08555305473979653,0.0820895154187101
Gold,0.5612440148266248,0.15597740299701873,-0.0993401674756689,-0.18755082642948268,0.3512666102648027,0.0920276882969972
Intl_LC_Blend,-0.3599864064725817,0.9528083583511687,-0.13067213405040523,0.16671075413861566,0.01092896012369458,0.05597213165637357
Intl_LC_Growth,-0.3913527909723096,0.9750109639933806,-0.11585916709929459,-0.059628810135510746,0.006974336024866329,0.030540094550552722
Intl_LC_Value,-0.34540555995713684,0.9379872669423949,-0.13794790697822082,0.40149543015253,0.004950587197996509,0.06660781127429259
Intl_MidSmall_Blend,-0.40755486101932503,0.9901242603226851,0.047303531170146414,0.110856447066282,0.02980610797165733,-0.021701435550329246
Intl_REIT,-0.5771914766874104,0.78360925077245,0.06985578828863626,0.10561946259558436,0.17163264736805817,0.16170719487956148
Intl_Small_Value,-0.29470476317979816,0.9203065884956079,0.01455602321100534,0.23030753902701398,0.04601752406081397,-0.04282789761357583
UST_Intermediate_7_10Y,0.11316426012589634,-0.0012968363215029434,-0.03232910257606882,-0.16205356816762917,0.10439630856975315,0.05061385199383744
UST_Long_20Y_Plus,0.14916348118620995,-0.020361621969032285,-0.08132834163594727,-0.34315018702686073,0.10290133156201846,0.12734440699363772
UST_Short_1_3Y,0.027204916034173382,-0.006602534905709808,-0.004089207356876792,-0.017251167833315866,0.019116505733202005,0.00640175619232466
UST_TIPS,-0.057678387148383435,0.13024804244046098,0.020143317105468656,-0.11150369649727986,0.15105356249337343,0.04783643823627605
US_HY_Broad,-0.07312991331598051,0.4518052954203732,0.08837950201286834,0.05955332410816381,0.06514477828947438,-0.03516304458343389
US_HY_Short,-0.07529282716455599,0.28055351607474494,0.02714867693061069,0.09977113831505541,0.04362043041142394,-0.0437562312081019
US_IG_Intermediate,0.02816163703392358,0.18262571259042512,0.015155301663153693,-0.05028428287700418,0.12149910051966374,-0.0500163664719232
US_IG_Long,-0.05847823820197508,0.3071418815929783,-0.051606464362554914,-0.13465203385508967,0.12255615868567601,-0.004160084896631208
US_IG_Short,0.028158746829020535,0.0810617656905208,0.013167547958961164,-0.003273231394515652,0.05705188138941015,-0.030904596671569615
US_LC_Blend,-0.023510567642174247,0.9934851733002972,-0.12364284265028797,0.02601308583940312,0.04791615821891043,0.022504059325334405
US_LC_Growth,0.05632186330782858,1.079281766437351,-0.11953585647207954,-0.25495557883720626,0.0034049070584401472,-0.17033398361463317
US_LC_Value,-0.06616443300284622,0.9073679979543268,-0.07162497212081163,0.30355489403097746,0.0678672983269327,0.20137990257874366
US_MC_Blend,-0.08015764337018713,0.9950383373563007,0.49509603255957696,0.09937235621928263,0.15684073905466808,0.01387612086384768
US_MC_Growth,-0.061240239464164674,0.9954578559444162,0.44289901501502604,-0.0728823984287204,0.11599638534385419,-0.015856505925762356
US_MC_Value,-0.11858592736418384,0.9952344776409487,0.5635803524770984,0.2763346542293119,0.20831542863670222,0.038381988995328624
US_REIT,-0.25521344403613194,0.9752734677941661,0.26882514839209876,0.24707956482387242,0.21629673986368908,0.0222591391458124
US_SC_Blend,-0.013361741382041221,0.9540618286677892,0.8861861655469415,0.16557216947911146,0.12808405844300036,0.029331002524158132
US_SC_Growth,0.013771387854015098,0.9455125749999127,0.8670780851177258,0.011182449999346977,0.12112925619544392,-0.00906444361696896
US_SC_Value,-0.0616663331089088,0.970533006386526,0.9131764151395092,0.32932216081177923,0.14712326150803,0.05710025755349521
