Asset,Alpha,Mkt-RF,SMB,HML,RMW,CMA,US_Growth_Factor,Global_Growth_Factor,Inflation_Factor,Rates_Yields_Factor,US_Monetary_Policy_Factor,Global_Monetary_Policy_Factor,Currency_Factor,Credit_Risk_Factor,Commodities_Factor
Broad_Commodities,0.7023945871883228,1.4472393186836923,0.06341465343358507,0.5347194093149581,0.28346084326572807,0.32299888224240875,-0.86874241827487,-2.245515110078559,3.5114583999178097,-0.3557044666391918,0.20966010704632448,0.4059681186695222,-4.418619750849491,0.049251171278448275,7.301028894894338
EM_Broad,1.9376909821588637,5.5260557630012785,-0.28766440570644114,0.27625690778802786,-0.8009883518802456,0.241168294092586,0.5954537415823247,-0.5279141620314496,-1.518245244930894,0.006809598072023801,0.5062544375129894,1.0715153788424066,-10.194234873947035,-0.8884833909425202,1.4354354780887804
EM_Debt_Local_Alt,2.82103595382789,0.8611250634438801,-0.9140970417298078,0.2234577514012417,0.4050894468491982,0.3593987720045748,0.2165930628478805,-2.9007733017040005,-2.629094223108807,-0.28947498437561264,0.28698866401229756,1.908830201018934,-15.295476101432023,-0.49213886206373325,0.2466362983706184
EM_Debt_Local_Broad,2.2081094496334415,1.5009147183390812,-0.9923094356746142,0.2530793368065413,1.1606333038093335,0.02610155494475341,0.6667904974136211,-2.1557042068027696,-2.271686308921533,-0.6060230107657965,0.66820721310054,1.6885959006015883,-18.0174335679306,-1.217341261720908,-0.07631347429882547
EM_Debt_USD_Broad,1.150152584826319,5.916968919483726,-0.2955364586241244,0.6790307279304031,2.210455347263446,-1.1142240731113842,0.2605641925069909,-1.4403084811986986,-3.5178218637631415,-1.5264110321782078,-1.6098912875744753,1.201133542397125,-4.778349123334139,1.6366447563934663,-0.33627154248013164
EM_Small,0.9134895109771886,9.451883833568,0.6193335629400877,0.03921174373592348,0.04684570618341466,0.10732832161983857,0.8738475721302918,-1.3947485788884852,-1.397592268257952,-0.2275059377823055,0.4730294357475392,0.4156145097861742,-9.133444788863912,-0.9452777247001608,2.2808497304116577
EM_Value,1.8486259700371293,7.493186407004421,0.10043045873920213,2.1749239986616757,0.7337154783364596,0.5658768641026453,-1.005818853431197,-0.556379237517185,-2.68982452500162,-0.24938136567751565,-1.8537766336859436,0.27463827788574663,-13.879657705372985,0.9221428510399975,4.098399891421224
Gold,4.3702626987182285,-4.269513364422027,-0.32779378515023777,-2.388182558108285,2.911379660271668,0.33403563159199046,-1.6757481142848631,0.03214028238578149,-1.3451737678786815,0.6723234834561432,-0.5307377612145162,-1.2015198583051399,-9.248617460496309,0.5181315742784262,1.3524998316835148
Intl_LC_Blend,-0.15999572002081786,16.634539455410074,-1.2743524443029852,2.4674857934490038,0.4047621171914351,0.2538460250963406,1.679172017103541,0.6899185513670666,-2.5925184031742625,-0.2849524151865416,-1.1914569126658356,-0.48203190161403536,-9.725965060021842,-0.3919002903937287,-0.4727111061328383
Intl_LC_Growth,-0.4287859210361673,19.648009036567434,-1.0102448784446243,-1.6939271706584673,0.14420088650989543,-0.05487276879385352,2.5333412947524816,0.27909384801497694,-1.6152718559470105,-0.16997599502040317,0.8123420688858107,-0.08141724810350971,-10.656410993328326,-1.2391265780134844,-2.1026015246020076
