Asset,Term,Beta,T_Stat_OLS,T_Stat_HAC,R2,N_Obs
US_LC_Blend,Alpha,-0.022330536791758504,-1.3049252823988955,-1.597596033314954,0.9968958155310456,244
US_LC_Blend,Mkt-RF,0.9913287464862183,188.39063610755048,185.17515066067827,0.9968958155310456,244
US_LC_Blend,SMB,-0.11702675663662426,-15.872193849556997,-15.37073067346514,0.9968958155310456,244
US_LC_Blend,HML,0.02624969361853508,3.7073543278400733,2.8901848040775144,0.9968958155310456,244
US_LC_Blend,RMW,0.052700908440627574,6.0136558938242946,4.17143767646235,0.9968958155310456,244
US_LC_Blend,CMA,0.019384275184076774,1.8053050433124742,1.6552859629802315,0.9968958155310456,244
US_LC_Blend,US_Growth_Factor,0.012034651921951633,0.8661973355269834,0.8202459541587594,0.9968958155310456,244
US_LC_Blend,Global_Growth_Factor,0.02818885762731966,1.7075215783617839,1.9122326860643994,0.9968958155310456,244
US_LC_Blend,Inflation_Factor,0.027388080390712027,1.9397294688495612,1.917089181697559,0.9968958155310456,244
US_LC_Blend,Rates_Yields_Factor,0.010910460301337896,0.9473270532640067,0.9740898169123409,0.9968958155310456,244
US_LC_Blend,US_Monetary_Policy_Factor,0.015815826126403643,0.8576082415670506,1.0134611357484609,0.9968958155310456,244
US_LC_Blend,Global_Monetary_Policy_Factor,-0.01895615470646214,-1.167537125891131,-1.4876737866611631,0.9968958155310456,244
US_LC_Blend,Currency_Factor,-0.00842413323642402,-0.6917843896319527,-0.7025856976373768,0.9968958155310456,244
US_LC_Blend,Credit_Risk_Factor,-0.02920020828754695,-1.7306879254334908,-1.5128176392212762,0.9968958155310456,244
US_LC_Blend,Commodities_Factor,-0.049271303205061165,-2.8538462221662773,-2.643800544321218,0.9968958155310456,244
US_LC_Value,Alpha,-0.035887118018417485,-0.5598727501892082,-0.639626622505843,0.955863917762456,244
US_LC_Value,Mkt-RF,0.8784231244467644,44.56661380458223,36.29890268434629,0.955863917762456,244
US_LC_Value,SMB,-0.0609337971181265,-2.2063494419326264,-1.8227973380566476,0.955863917762456,244
US_LC_Value,HML,0.30432653895436046,11.474768918314727,9.14831748000284,0.955863917762456,244
US_LC_Value,RMW,0.0771577874884532,2.3505229874939895,2.190325503833085,0.955863917762456,244
US_LC_Value,CMA,0.1988650423999704,4.944515479592003,3.781541660568742,0.955863917762456,244
US_LC_Value,US_Growth_Factor,-0.047769894663427626,-0.9179137136029473,-0.8340940350224159,0.955863917762456,244
US_LC_Value,Global_Growth_Factor,0.006095840971517219,0.09857950156541924,0.12324403227312875,0.955863917762456,244
US_LC_Value,Inflation_Factor,-0.09668084288605151,-1.8280339733245192,-1.3502643567574428,0.955863917762456,244
US_LC_Value,Rates_Yields_Factor,-0.004623317262859222,-0.10717039416503664,-0.12000283044596353,0.955863917762456,244
US_LC_Value,US_Monetary_Policy_Factor,-0.030254289111049493,-0.43797395151060897,-0.6484650102572238,0.955863917762456,244
US_LC_Value,Global_Monetary_Policy_Factor,-0.038833464194637055,-0.638544037397005,-0.6221759201710388,0.955863917762456,244
US_LC_Value,Currency_Factor,-0.09817947221270547,-2.1524371972604355,-2.2681524314821946,0.955863917762456,244
US_LC_Value,Credit_Risk_Factor,-0.08735301469119917,-1.3822130118975169,-1.5894955564222983,0.955863917762456,244
US_LC_Value,Commodities_Factor,-0.04642137743311442,-0.7178253743047804,-0.8635334175802263,0.955863917762456,244
US_LC_Growth,Alpha,0.05055796702353729,0.8909892486876536,1.0103657243680466,0.9731351503495419,244
US_LC_Growth,Mkt-RF,1.086308936233761,62.25745214617888,55.895274999330084,0.9731351503495419,244
US_LC_Growth,SMB,-0.11568086718649008,-4.731618317826765,-3.6866589377467007,0.9731351503495419,244
US_LC_Growth,HML,-0.2610317079597883,-11.118072466693919,-9.859444410413666,0.9731351503495419,244
US_LC_Growth,RMW,0.00311028622342591,0.10703287910101762,0.0995216440020166,0.9731351503495419,244
US_LC_Growth,CMA,-0.16965534463426218,-4.765022474436805,-4.057412511842489,0.9731351503495419,244
US_LC_Growth,US_Growth_Factor,0.047681292321263335,1.0349698686285633,1.144477642090326,0.9731351503495419,244
US_LC_Growth,Global_Growth_Factor,0.022197100850818066,0.4054911299174936,0.4507770950733098,0.9731351503495419,244
US_LC_Growth,Inflation_Factor,0.090623353294501,1.9356020646364511,1.3711752193097089,0.9731351503495419,244
US_LC_Growth,Rates_Yields_Factor,0.015888864611425565,0.4160505587524977,0.4980701535063716,0.9731351503495419,244
US_LC_Growth,US_Monetary_Policy_Factor,0.022102389712886833,0.361437055044026,0.4458033232595857,0.9731351503495419,244
US_LC_Growth,Global_Monetary_Policy_Factor,0.0014295263619221732,0.02655271917033058,0.026306307123604995,0.9731351503495419,244
US_LC_Growth,Currency_Factor,0.02725130847357267,0.6748842131391789,0.6985112283522068,0.9731351503495419,244
US_LC_Growth,Credit_Risk_Factor,0.02920044888593097,0.5219377642120075,0.5772963885052931,0.9731351503495419,244
US_LC_Growth,Commodities_Factor,0.012588191299658463,0.21988531764449878,0.26098822973340446,0.9731351503495419,244
US_MC_Blend,Alpha,-0.05710917738242495,-0.7393894903300006,-0.8189110243956618,0.9555012993225978,244
US_MC_Blend,Mkt-RF,0.9762840597034033,41.105382814891705,40.7192008414522,0.9555012993225978,244
US_MC_Blend,SMB,0.49565061967482904,14.893896439736555,16.946666078731344,0.9555012993225978,244
US_MC_Blend,HML,0.09311900588218186,2.9137955368402646,2.2943120384732896,0.9555012993225978,244
US_MC_Blend,RMW,0.16103422557699687,4.071172905678606,3.9155805688414325,0.9555012993225978,244
US_MC_Blend,CMA,0.017140757813295965,0.35368116608237654,0.27428005921952536,0.9555012993225978,244
US_MC_Blend,US_Growth_Factor,-0.03826159774318416,-0.6101369089180781,-0.7778775814644885,0.9555012993225978,244
US_MC_Blend,Global_Growth_Factor,-0.052077530324907764,-0.6989079671460141,-0.7675347331960906,0.9555012993225978,244
US_MC_Blend,Inflation_Factor,-0.12440979723651478,-1.9521583300560534,-1.916390422553691,0.9555012993225978,244
US_MC_Blend,Rates_Yields_Factor,-0.021293867042216752,-0.40963050476845364,-0.38482571127510345,0.9555012993225978,244
US_MC_Blend,US_Monetary_Policy_Factor,-0.20630236946641284,-2.4784614388085404,-2.0024552353104625,0.9555012993225978,244
US_MC_Blend,Global_Monetary_Policy_Factor,-0.02450877188394837,-0.33444360088679037,-0.32163172380732824,0.9555012993225978,244
US_MC_Blend,Currency_Factor,-0.06258084783894828,-1.1385912961169535,-1.2248916024960728,0.9555012993225978,244
US_MC_Blend,Credit_Risk_Factor,0.09924059529941351,1.303175964544902,1.280408841878052,0.9555012993225978,244
US_MC_Blend,Commodities_Factor,0.13589456176327117,1.7438915850116317,1.5963696174220587,0.9555012993225978,244
US_MC_Value,Alpha,-0.08836150144538797,-1.12249289381492,-1.1608291655713205,0.958273119459788,244
US_MC_Value,Mkt-RF,0.9682030428628122,39.9983509545162,37.732195392172684,0.958273119459788,244
US_MC_Value,SMB,0.5620819299393015,16.572401433046483,15.487901545820662,0.958273119459788,244
US_MC_Value,HML,0.27006632048841756,8.29171402175503,5.1551185786533065,0.958273119459788,244
US_MC_Value,RMW,0.20696871949391432,5.134039621214925,4.717317106231663,0.958273119459788,244
US_MC_Value,CMA,0.0447897732923529,0.9068050374588281,0.5969707495272101,0.958273119459788,244
US_MC_Value,US_Growth_Factor,-0.13405072437828808,-2.097425317062477,-2.3611279416156643,0.958273119459788,244
US_MC_Value,Global_Growth_Factor,-0.10648728818663465,-1.402234095611361,-1.6727456462925465,0.958273119459788,244
US_MC_Value,Inflation_Factor,-0.15905636533116135,-2.448863931619323,-2.1633246864617486,0.958273119459788,244
US_MC_Value,Rates_Yields_Factor,-0.07409651140892598,-1.3985843315045767,-1.5590892609268971,0.958273119459788,244
US_MC_Value,US_Monetary_Policy_Factor,-0.2965423873445258,-3.495568962679814,-2.9159598315220467,0.958273119459788,244
US_MC_Value,Global_Monetary_Policy_Factor,-0.01195232922904016,-0.16003207382417986,-0.20717420613918164,0.958273119459788,244
US_MC_Value,Currency_Factor,-0.09727237658377993,-1.73647721231571,-1.8522369995415275,0.958273119459788,244
US_MC_Value,Credit_Risk_Factor,0.1104645752665428,1.4232784456871526,1.1609720175873104,0.958273119459788,244
US_MC_Value,Commodities_Factor,0.16434124757767524,2.069269844703744,2.1499393592508556,0.958273119459788,244
US_MC_Growth,Alpha,-0.046100287081560554,-0.452748284217984,-0.5220120169165781,0.9204649604296157,244
US_MC_Growth,Mkt-RF,0.98513632078964,31.463327042609055,32.109242335005824,0.9204649604296157,244
US_MC_Growth,SMB,0.44282074362731627,10.093608312954965,11.74640625573596,0.9204649604296157,244
US_MC_Growth,HML,-0.0820964231806797,-1.9486363216692228,-1.8817951645991335,0.9204649604296157,244
US_MC_Growth,RMW,0.12412025713782623,2.380289822386048,2.281255863532637,0.9204649604296157,244
US_MC_Growth,CMA,-0.008955815585176205,-0.14017574462077276,-0.12227355043330149,0.9204649604296157,244
US_MC_Growth,US_Growth_Factor,0.016258720590672127,0.19666921223025424,0.31328134642599914,0.9204649604296157,244
US_MC_Growth,Global_Growth_Factor,-0.023838625531611778,-0.24268148111842414,-0.28527201723307366,0.9204649604296157,244
US_MC_Growth,Inflation_Factor,-0.1092520569626837,-1.3003968026471495,-1.311962418814181,0.9204649604296157,244
US_MC_Growth,Rates_Yields_Factor,0.021659997795738392,0.3160690530128698,0.2908404957081897,0.9204649604296157,244
US_MC_Growth,US_Monetary_Policy_Factor,-0.19012110390804987,-1.7325831726231056,-1.4162229905069335,0.9204649604296157,244
US_MC_Growth,Global_Monetary_Policy_Factor,-0.03246219203824127,-0.3360199000065977,-0.3225631037594494,0.9204649604296157,244
