,Mkt-RF,SMB,HML,RMW,CMA
const,1.1390218859152728,-0.014870890952535515,-0.021280427447746688,0.16535044686892494,-0.0025329774553315334
US_Growth_Factor,0.14461278744462613,0.04596461872549901,-0.010944671240504217,-0.1352435998888314,0.07162262217720648
Global_Growth_Factor,0.36859958559213646,-0.21733871273594416,-0.38949296430695557,-0.13547528210173349,-0.05766091651257145
Inflation_Factor,-0.28585847365189127,-0.1665144936970593,0.13588999438637694,0.1511102131935085,0.08964482309372256
Rates_Yields_Factor,-0.17350035265611086,-0.09410203320316661,0.2059265682928365,-0.04409233627695815,0.09893059105549695
US_Monetary_Policy_Factor,0.5035838241142302,0.11400708487017427,0.2718812138445695,0.018197152316125644,0.10493884972622541
Global_Monetary_Policy_Factor,-0.0996185489589861,0.18794578840606574,-0.1291628310171023,0.11791809875620719,-0.1348582092865795
Currency_Factor,-1.2839220914512066,-0.1935496650987877,-0.09675128164500964,0.08655295999512648,0.01090375606448361
Credit_Risk_Factor,-1.1635328715967668,0.1305410236176239,-0.12999086999232132,0.1181944344685891,0.21055334112947935
Commodities_Factor,0.6487184501795863,0.43208262961622623,0.6141937092715704,-0.042215921162413926,0.016982735614382728
L1.Mkt-RF,-0.11196570261059108,0.030729520511616135,0.006858483569981089,-0.0015641420033853104,0.040369519202338236
L1.SMB,-0.03993471272124461,-0.19287137543767152,-0.1551776501730174,0.07518194199448083,-0.07099132780876875
L1.HML,-0.0942374807878271,0.04452448981072861,0.10892084243294105,-0.015376484462848613,0.03131196320204322
L1.RMW,-0.29232253240479433,-0.27546660878702833,-0.11735144719140671,0.23913554628053063,-0.022479483451685985
L1.CMA,0.06290232895880012,-0.007481434041593861,0.10066406890427504,-0.004346842285825823,0.0849316253870086
