Date,Portfolio_Full,Portfolio_ExConcentrated,Benchmark,Active_Full,Active_ExConcentrated
2020-10-01,0.007950198021362619,-0.027169506089623492,-0.0175151092893415,0.025465307310704118,-0.009654396800281993
2020-11-01,0.6819868363908763,0.08374408759703869,0.0884249990401988,0.5935618373506775,-0.004680911443160116
2020-12-01,-0.0194993478977317,0.04778342282022273,0.0318425049192803,-0.051341852817012,0.01594091790094243
2021-01-01,0.18038835241280843,-0.008223295859639213,-0.008202628165946,0.18859098057875442,-2.0667693693212502e-05
2021-02-01,-0.11413208197799556,0.010125736462892436,0.0230509363778044,-0.13718301835579996,-0.012925199914911964
2021-03-01,0.013890950059133583,0.03760705561140083,0.0379691782072191,-0.02407822814808552,-0.00036212259581826917
2021-04-01,0.02196415767437503,0.04163939941958485,0.0445038764291887,-0.022539718754813674,-0.0028644770096038566
2021-05-01,0.005237686873332798,0.010739773124274312,0.0070126024668486,-0.0017749155935158027,0.003727170657425712
2021-06-01,0.06919008704538177,0.02141732582463623,0.0173710725162581,0.051819014529123665,0.004046253308378128
2021-07-01,-0.048314846175781224,0.02875867358516371,0.0215581659390948,-0.06987301211487602,0.007200507646068912
2021-08-01,0.09352827711612528,0.021479890252200005,0.0229987989562314,0.07052947815989388,-0.001518908704031395
2021-09-01,-0.056631711480862046,-0.03816619789725817,-0.0391029506021756,-0.017528760878686447,0.000936752704917429
2021-10-01,0.07100425078592075,0.06767387053176556,0.0563836578250951,0.01462059296082565,0.011290212706670459
2021-11-01,-0.07886019597305909,-0.004712537791947571,0.0012187623961674,-0.08007895836922649,-0.005931300188114971
2021-12-01,-0.010898448043660478,0.053642787263913576,0.0359071991688304,-0.04680564721249088,0.017735588095083174
2022-01-01,-0.11023674615986806,-0.027873312508637837,-0.046942945061339,-0.06329380109852906,0.019069632552701166
2022-02-01,-0.06529564041769742,-0.022951619365819166,-0.0222439423841569,-0.04305169803354052,-0.0007076769816622662
2022-03-01,0.07729730680063739,0.028346002150005226,0.0205927710686062,0.056704535732031186,0.007753231081399026
2022-04-01,-0.1228954139385237,-0.05090621990703484,-0.0665250873616779,-0.05637032657684579,0.015618867454643068
2022-05-01,-0.0658768026738147,-0.006001077521300774,0.0014796476618399,-0.0673564503356546,-0.007480725183140673
2022-06-01,-0.017664265950458263,-0.05532892102855862,-0.058844565081557,0.04118029913109873,0.003515644052998382
2022-07-01,0.09670167062395404,0.06997150088323766,0.0734893283225712,0.023212342301382846,-0.003517827439333543
2022-08-01,-0.11854504310872124,-0.036975215550209675,-0.0381827345184917,-0.08036230859022955,0.0012075189682820217
2022-09-01,-0.028420813375907385,-0.0774787780556475,-0.0719740032675425,0.04355318989163511,-0.005504774788105002
2022-10-01,0.07560267868049866,0.07224622087120951,0.0689791167465039,0.0066235619339947704,0.0032671041247056137
2022-11-01,-0.025997116321037517,0.04666683044961179,0.0538230563554689,-0.07982017267650642,-0.007156225905857107
2022-12-01,-0.07966079609160881,-0.04094666805570135,-0.0434105969154015,-0.03625019917620731,0.0024639288597001485
2023-01-01,0.10260410565334874,0.036875959636616974,0.0453022278919439,0.057301877761404836,-0.008426268255326927
2023-02-01,-0.00920830683135343,-0.01938962523095892,-0.01337633086282,0.00416802403146657,-0.006013294368138919
2023-03-01,0.05774292314349076,0.04567053821512293,0.0279335752914671,0.029809347852023663,0.01773696292365583
2023-04-01,-0.01183279773645193,0.03089372900282123,0.0143755821719944,-0.02620837990844633,0.016518146830826832
2023-05-01,0.3330521465004264,-0.006926646209221945,0.0014051799779419,0.33164696652248454,-0.008331826187163846
2023-06-01,0.04500741156527697,0.04672785970135834,0.0579616741370194,-0.012954262571742432,-0.011233814435661058
2023-07-01,0.12500977447463582,0.02320813344033342,0.0271441177605236,0.09786565671411222,-0.00393598432019018
2023-08-01,-0.10648454412391081,-0.023161380637421358,-0.005336265900006,-0.10114827822390482,-0.017825114737415357
2023-09-01,0.0019160072564602048,-0.0379026481902662,-0.0301278550170364,0.03204386227349661,-0.007774793173229804
2023-10-01,-0.031117339932109404,-0.004712308095828761,-0.0119954736449412,-0.019121866287168204,0.00728316554911244
2023-11-01,0.18010674384362213,0.07503278239896165,0.0582305227441111,0.12187622109951103,0.01680225965485055
2023-12-01,-0.03889560949348365,0.024131619425968785,0.0330652463234799,-0.07196085581696354,-0.008933626897511118
2024-01-01,-0.018322586437861756,0.008500741558343416,0.0117848899187786,-0.030107476356640357,-0.003284148360435184
2024-02-01,0.22400379517775576,0.022591340787962606,0.0379417453809454,0.18606204979681035,-0.015350404592982793
2024-03-01,-0.01691100259530199,0.022576741924985794,0.0292592949546366,-0.046170297549938594,-0.006682553029650807
2024-04-01,-0.0357921066573087,-0.03013253276959807,-0.0288216221853173,-0.006970484471991396,-0.001310910584280768
2024-05-01,0.02258426541675728,0.04411620842502345,0.0450005040643552,-0.022416238647597918,-0.0008842956393317475
2024-06-01,0.08154296301406969,0.029304740590042868,0.0268970227324887,0.054645940281580985,0.0024077178575541668
2024-07-01,0.04072910648197372,0.028178493459252645,0.0145076446294167,0.02622146185255702,0.013670848829835946
2024-08-01,0.08216410085942398,0.028893097293046337,0.0189504193299905,0.06321368152943348,0.009942677963055837
2024-09-01,0.07522860792642878,0.011161096782338568,0.0178317838196129,0.05739682410681589,-0.006670687037274331
2024-10-01,0.03279071523968025,-0.018002568331143422,-0.0071905359667113,0.03998125120639155,-0.010812032364432123
2024-11-01,0.2567791664465029,0.04180126547516263,0.0494789902832835,0.20730017616321939,-0.007677724808120873
2024-12-01,0.028624316961013706,-0.030846817087494323,-0.0174549427471966,0.04607925970821031,-0.013391874340297722
2025-01-01,0.04525151436596353,0.017901424978284102,0.0205913188483117,0.02466019551765183,-0.0026898938700275973
2025-02-01,0.015765164686970486,0.007525850242112747,-0.0137502834855964,0.029515448172566884,0.021276133727709146
2025-03-01,-0.017658586122918037,-0.024599546590302473,-0.0424390830111031,0.024780496888185063,0.017839536420800627
2025-04-01,0.1384939443841326,-0.020855496562902868,-0.0094348048337006,0.1479287492178332,-0.011420691729202268
2025-05-01,0.05565558245368867,0.02137247937753332,0.0536993473282862,0.0019562351254024737,-0.032326867950752874
2025-06-01,0.03281072197446244,0.03182348037729984,0.0345776523941663,-0.001766930419703855,-0.002754172016866459
2025-07-01,0.06683423260657957,0.00980882484751335,0.0186892319445262,0.04814500066205337,-0.00888040709701285
2025-08-01,0.02171716184756214,0.041016680614237716,0.0170490908734941,0.004668070974068041,0.023967589740743617
2025-09-01,0.08301964793668792,0.034255544981900046,0.0263649231770257,0.056654724759662226,0.007890621804874345
2025-10-01,0.04743607524387823,0.016440661133566917,0.0087841795808101,0.038651895663068134,0.0076564815527568175
2025-11-01,-0.05325314605363259,0.010812812361051251,0.004838205376904,-0.05809135143053659,0.005974606984147251
2025-12-01,0.017801986871256073,-0.004706699553746896,0.0011164748498351,0.016685512021420972,-0.005823174403581996
2026-01-01,-0.06085439721714891,0.008011170177252558,0.0146781980144004,-0.0755325952315493,-0.006667027837147841
2026-02-01,-0.011894017291656685,0.019533999854415323,-0.0034347489375976,-0.008459268354059085,0.022968748792012925
2026-03-01,-0.0035933497078786654,-0.045624516045397995,-0.0431744004443659,0.03958105073648723,-0.002450115601032095
2026-04-01,0.02437500269923912,0.06853552189351765,0.0753833782679558,-0.05100837556871668,-0.0068478563744381465
2026-05-01,0.06707229703653747,0.032037691549295234,0.0296489018624475,0.03742339517408997,0.0023887896868477337
2026-06-01,-0.104746248289385,-0.014519046087780875,-0.0131879897153552,-0.0915582585740298,-0.001331056372425676
