Date,Rolling_Realized_TE
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,0.10520374916947228
2007-03-01,0.10935123444975003
2007-04-01,0.11346782571252167
2007-05-01,0.10894959595884048
2007-06-01,0.10906706409117611
2007-07-01,0.0826736131763343
2007-08-01,0.07760340648094519
2007-09-01,0.07695300039216854
2007-10-01,0.07379960298734373
2007-11-01,0.0719908290439355
2007-12-01,0.07035235342248393
2008-01-01,0.06747789559317986
2008-02-01,0.061274868569859274
2008-03-01,0.0642049220935839
2008-04-01,0.05871882498480208
2008-05-01,0.060871214508067546
2008-06-01,0.06281200463050256
2008-07-01,0.0742159508851125
2008-08-01,0.11258424040864605
2008-09-01,0.16606322064476028
2008-10-01,0.16646669074183326
2008-11-01,0.15812355366576641
2008-12-01,0.16613807584027546
2009-01-01,0.15546769630566815
2009-02-01,0.16328068745685023
2009-03-01,0.16164161052359363
2009-04-01,0.16483582340212868
2009-05-01,0.1700516228947468
2009-06-01,0.191871329253814
2009-07-01,0.22139786312813736
2009-08-01,0.22748537341645694
2009-09-01,0.18844555614827013
2009-10-01,0.19638420541881582
2009-11-01,0.1871946263843952
2009-12-01,0.1395816880554964
2010-01-01,0.10147142546693486
2010-02-01,0.100521848661022
2010-03-01,0.08488054511681
2010-04-01,0.08238900232166738
2010-05-01,0.07198621213937051
2010-06-01,0.07289979948071845
2010-07-01,0.08875763405264747
2010-08-01,0.08699214896589087
2010-09-01,0.08594856322415294
2010-10-01,0.08514246411568575
2010-11-01,0.0829520605911821
2010-12-01,0.0847851985087181
2011-01-01,0.07871213643217204
2011-02-01,0.08043533693409896
2011-03-01,0.08031790530617679
2011-04-01,0.08624328051339734
2011-05-01,0.0734789026256073
2011-06-01,0.06571746279135293
2011-07-01,0.06251090931163637
2011-08-01,0.06625575856493418
2011-09-01,0.0664589322928817
2011-10-01,0.07049934637493495
2011-11-01,0.07309069917535796
2011-12-01,0.0633543863199113
2012-01-01,0.05824166095723647
2012-02-01,0.05785061309442281
2012-03-01,0.061707767513576595
2012-04-01,0.05431591324947035
2012-05-01,0.05064031863070057
2012-06-01,0.048923229911481354
2012-07-01,0.05192599328319195
2012-08-01,0.05255440067752043
2012-09-01,0.0525374334985707
2012-10-01,0.049104317799704526
2012-11-01,0.046506719610078115
2012-12-01,0.03768953437525172
2013-01-01,0.03935889863104717
2013-02-01,0.0391503773666479
2013-03-01,0.03474968656554654
2013-04-01,0.031014676410205944
2013-05-01,0.03177431458098416
2013-06-01,0.02752806737796679
2013-07-01,0.0266754524303644
2013-08-01,0.027896923724981034
2013-09-01,0.03161105988019478
2013-10-01,0.035781617617488756
2013-11-01,0.03456958959125197
2013-12-01,0.03574488344602967
2014-01-01,0.048210216829313826
2014-02-01,0.04883134766390481
2014-03-01,0.04935818677307361
2014-04-01,0.04950389120940038
2014-05-01,0.051350252148918876
2014-06-01,0.05028783153164164
2014-07-01,0.0503609362357587
2014-08-01,0.049555556231996305
2014-09-01,0.04032853143359185
2014-10-01,0.04205358280238108
2014-11-01,0.042044805367210454
2014-12-01,0.04283448095888614
2015-01-01,0.0346986773000987
2015-02-01,0.03721915348065117
2015-03-01,0.039675360742446604
2015-04-01,0.047367762297087085
2015-05-01,0.04567752203062894
2015-06-01,0.0470671509090253
2015-07-01,0.04762224460476096
2015-08-01,0.045584640821819566
2015-09-01,0.04688929999850636
2015-10-01,0.0461910089018537
2015-11-01,0.0470831860358736
2015-12-01,0.047686364904507735
2016-01-01,0.061412287803948674
2016-02-01,0.05770367985993932
2016-03-01,0.0590868268288039
2016-04-01,0.04752757544223586
2016-05-01,0.04793202296857991
2016-06-01,0.055183129825605845
2016-07-01,0.05656835989775609
2016-08-01,0.05141296767615694
2016-09-01,0.05390907238960217
2016-10-01,0.054719484032773595
2016-11-01,0.06557460395039753
2016-12-01,0.0679737913166962
2017-01-01,0.058674606885427846
2017-02-01,0.06282323311651587
2017-03-01,0.06233290022312153
